arzooo-document-lms-parser      retailtech-document-lms-parser:4
arzooo-service-5        retailtech-service-5:4
arzooo-es-ingestion     arzooo-es-ingestion:4
orbit-distributor       orbit-distributor:8
gopay-bull-board-service        gopay-bull-board-service:8
ems-service     ems-service:6
arzooo-service-1        arzooo-service-1:4
homeyantra-loadtest     homeyantra-loadtest:8
supplier-discovery-service      supplier-discovery-service:11
chat-backend    chat-backend-task-definition:5
wms-bff-sap     wms-bff-sap:20
ems-service-1   ems-service-1:8
config-service  config-service-task-definition:6
credit-service  credit-service:5
rewards-loadtest        rewards-loadtest:7
madhyama-service        madhyama-service-task-definition:9
sampark-service sampark-service:11
discovery-admin discovery-admin:6
oms-loadtest    oms-loadtest:8
arzooo-es-discovery     retailtech-es-discovery:4
auth-service-sap        auth-service-sap:7
one-communication-dashboard     one-communication-dashboard:8
central-oms-service     central-oms-service-task-definition:5
orbit-service   orbit-service:8
gopay-orders-service    gopay-orders-service:8
grow-ui grow-ui:7
wms-ems-sap     wms-ems-sap:19
search-service  search-service:11
authzooo-service        authzooo-service-task-definition:7
gopay-orders-loadtest-service   gopay-orders-loadtest-service:9
logistic-service        logistics-service-task:9
catalogue-homeyantra-data-change-sub    catalogue-homeyantra-data-change-sub-task-definition:6
gopay-identity-uat-service      gopay-identity-uat-service:8
gopay-identity-service  gopay-identity-service:8
arzooo-payment-service-loadtest arzooo-payment-service-loadtest:4
be-kronos       be-kronos:5
credit-authz    credit-authz:6
one-communication       one-communication:7
catalogue-tenant-data-change-sub        catalogue-tenant-data-change-sub-task-definitions:4
keyboard-canary1        keyboard-canary:9
tco-inventory-change-sub        tco-inventory-change-sub:14
arzooo-service-3        retailtech-service-3:4
hy-catalogue-kafka-connect      hy-catalogue-kafka-connect:8
bff-service     bff-service:5
entity-service-sap      entity-service-sap:8
search-admin    search-admin:10
kronos  kronos:9
strapi  strapi:11
elastic-search-debezium elastic-search-debezium:9
gopay-dev-ui    gopay-dev-ui:8
grow-service    grow-service:8
platform-config-service platform-config-service:8
arzooo-service-uat      retailtech-service-uat:4
reward-service  reward-service:11
retailtech-url-shortner-np      retailtech-url-shortner-np:5
oms-sap oms-sap:8
catalogue-data-change-pub       catalogue-data-change-pub-task-definition:5
arzooo-document-upload-service  retailtech-document-upload-service:4
catalogue-service       catalogue-service-task-definition:5
gostor-catalogue-service        gostor-catalogue-service:7
central-dashboard       central-dashboard:5
gostor-catalogue-data-change-pub        gostor-catalogue-data-change-pub:8
orbit-app       orbit-app:8
odin-service    odin-task:9
madhayama-loadtest      madhayama-loadtest:9
falcon-service  falcon-service:7
otp-service     otp-service:8
sync-service    sync-service:10
lms-service     lms-service:9
keyboard        keyboard:9
fe-goretail-desktop     fe-goretail-desktop:7
oms-service     oms-service-task:8
logistics-service-sap   logistics-service-sap:9
entity-service  entity-service-task-definition:8
arzooo-payment-service  arzooo-payment-service:4
locust-master-service   locust-master-service:9
credit-authn    credit-authn:5
central-inventory-svc   central-inventory-svc:5
gopay-offers-service    gopay-offers-service:8
document-service        document-service:9
gopay-identity-replica  gopay-identity-replica:8
arzooo-payment-service-1        arzooo-payment-service-1:4
arzooo-login-service    retailtech-login-service:4
gopay-dashboard gopay-dashboard:7
gopay-ui        gopay-ui:8
elastic-search-debezium-ui      elastic-search-debezium-ui:8
authn-service   authn-service-task-definition:7
arzooo-url-shortner-np  retailtech-url-shortner-np:4
master-catalogue-data-change-pub        master-catalogue-data-change-pub:9
arzooo-cron     retailtech-cron:5
hy-catalogue-kafka-connect-ui   hy-catalogue-kafka-connect-ui:8
seller-dashboard        seller-dashboard:11
locust-worker-service   locust-worker:9
gopay-orders-uat-service        gopay-orders-uat-service:8
master-catalogue        master-catalogue-task-definition:9
loan-origination-system loan-origination-system:10
odin-sap-1      odin-sap-1:9
